Provider,Model,Prompt Tokens,Generation Tokens,Stream,Temperature,Logprobs,Concurrency,Time To First Token,Latency Per Token,Num Tokens,Total Latency,Num Requests,Qps,P50 Time To First Token,P90 Time To First Token,P99 Time To First Token,P99.9 Time To First Token,P50 Total Latency,P90 Total Latency,P99 Total Latency,P99.9 Total Latency,P50 Latency Per Token,P90 Latency Per Token,P99 Latency Per Token,P99.9 Latency Per Token,Total Requests,Incomplete Requests Nofirstchunk,Incomplete Requests Nolastchunk,Incomplete Requests
adaptive,test,124.0,128,True,1.0,,0.125,29.304636797557276,21.958354250792638,129.0,2861.9323351498074,6,0.12713027163280471,29,30,30,30,2900.0,2900.0,2900.0,2900.0,22,22,22,22,7,0,0,0
adaptive,test,124.0,128,True,1.0,,0.5,169.45850026632587,22.44720689170856,129.0,3065.148189296731,26,0.58470910356019,110.0,390.0,790.0,790.0,3000.0,3700.0,3700.0,3700.0,22,23,25,25,29,0,2,2
adaptive,test,124.0,128,True,1.0,,1.0,111.61896869479851,23.057614265819037,129.03703703703704,3086.8771722652364,54,1.187830039335378,100.0,140.0,460.0,460.0,3000.0,3500.0,3600.0,3600.0,22,26,26,26,58,0,3,3
adaptive,test,124.0,128,True,1.0,,2.0,117.89655632826246,23.556025013507526,128.98181818181817,3156.1757649580777,110,2.412337061014737,110.0,150.0,200.0,200.0,3100.0,3600.0,3700.0,3700.0,23,26,27,27,117,0,6,6
adaptive,test,124.0,128,True,1.0,,4.0,137.6248612295103,24.97392891983309,128.9683257918552,3358.5123021426352,221,4.840172829675912,120.0,160.0,600.0,600.0,3100.0,4400.0,4500.0,4500.0,23,32,34,34,235,1,12,13
adaptive,test,124.0,128,True,1.0,,6.0,185.05216613158674,26.557834757765406,128.97280966767372,3610.3118075088814,331,7.2289156872425675,130.0,170.0,1800.0,2100.0,3400.0,4300.0,5200.0,5500.0,25,31,33,34,353,1,20,21
adaptive,test,124.0,128,True,1.0,,8.0,384.24303436365267,27.085411171828024,128.9841628959276,3877.8561945073307,442,9.62629018387381,130.0,470.0,4100.0,4200.0,3500.0,4500.0,7900.0,8000.0,26,31,34,34,471,1,27,28
adaptive,test,124.0,128,True,1.0,,10.0,837.5004886694927,28.82163076584299,129.01821493624772,4555.973697423627,549,12.115185342682947,140.0,3600.0,4600.0,4800.0,3700.0,7400.0,8600.0,8700.0,28,32,34,34,586,1,35,36
adaptive,test,124.0,128,True,1.0,,12.0,1478.6888353237318,29.26033693473247,128.9939393939394,5253.0931938915855,660,14.482822127265557,180.0,4600.0,6300.0,6700.0,4100.0,8600.0,10000.0,11000.0,29,32,34,34,706,2,43,45
adaptive,test,124.0,128,True,1.0,,14.0,3023.181640321293,29.933894277406758,128.97783572359845,6883.94528037305,767,16.682520186327995,3100.0,6100.0,7700.0,8000.0,6900.0,10000.0,12000.0,12000.0,30,32,34,35,824,2,54,56
adaptive,test,124.0,128,True,1.0,,16.0,6221.942857021376,30.288941699105507,129.02216427640155,10129.847742508304,767,17.640375342972977,6700.0,8300.0,9000.0,9200.0,11000.0,12000.0,13000.0,13000.0,30,32,33,34,941,109,64,173
adaptive,test,124.0,128,True,1.0,,18.0,8270.805068496473,30.29529177966164,128.98916967509027,12178.534740080868,831,17.845066588488603,9100.0,11000.0,12000.0,12000.0,13000.0,15000.0,16000.0,16000.0,30,32,34,34,1057,161,64,225
adaptive,test,124.0,128,True,1.0,,20.0,10344.766204462454,30.10609585392514,128.94270833333334,14226.744589780845,768,16.869407664331565,11000.0,14000.0,16000.0,16000.0,15000.0,18000.0,20000.0,20000.0,30,31,34,34,1176,343,64,407
adaptive,test,252.0,128,True,1.0,,0.125,30.194210664679606,21.966110052810425,129.0,2863.8224074772247,6,0.1277256005739988,30,31,31,31,2900.0,2900.0,2900.0,2900.0,22,22,22,22,7,0,0,0
adaptive,test,252.0,128,True,1.0,,0.5,182.4207658512303,22.761974056202607,129.03846153846155,3119.5650520832996,26,0.5905253425333752,110.0,440.0,790.0,790.0,3000.0,4000.0,4100.0,4100.0,22,25,28,28,29,0,2,2
adaptive,test,252.0,128,True,1.0,,1.0,176.16370857770866,22.910374247975582,128.92592592592592,3129.8792245107943,54,1.1873153859335122,110.0,460.0,2100.0,2100.0,3000.0,3500.0,5000.0,5000.0,23,24,26,26,58,0,3,3
adaptive,test,252.0,128,True,1.0,,2.0,114.5995630014857,23.651779056248003,128.9909090909091,3165.4259249578568,110,2.379584531053001,110.0,140.0,140.0,150.0,3100.0,3500.0,3600.0,3600.0,23,26,27,27,117,0,6,6
adaptive,test,252.0,128,True,1.0,,4.0,121.63843816974331,24.840162820364768,129.02714932126696,3326.609349081596,221,4.819353121497591,120.0,150.0,150.0,390.0,3200.0,4000.0,4200.0,4200.0,24,30,31,31,235,0,13,13
adaptive,test,252.0,128,True,1.0,,6.0,176.33542029899687,27.151889066035046,128.9939393939394,3678.7776804010555,330,7.228346764852088,130.0,160.0,1800.0,2200.0,3500.0,4400.0,5300.0,5600.0,26,32,34,34,352,1,20,21
adaptive,test,252.0,128,True,1.0,,8.0,389.5367432706155,27.716665293954886,128.98639455782313,3964.5988403504307,441,9.62674772762893,130.0,480.0,4100.0,4700.0,3600.0,4600.0,7900.0,8000.0,27,32,35,35,470,0,28,28
adaptive,test,252.0,128,True,1.0,,10.0,1346.9733115588047,30.23909615383799,128.99233716475095,5247.586287509015,261,15.39217544847039,200.0,4100.0,4500.0,4500.0,4500.0,8000.0,8500.0,8600.0,30,33,35,35,300,1,37,38
adaptive,test,252.0,128,True,1.0,,12.0,1708.9487216207247,30.683819064714278,129.00808080808082,5667.3824802687805,495,15.413497384020118,570.0,4400.0,6200.0,6300.0,4700.0,8500.0,10000.0,10000.0,30,33,35,35,542,1,45,46
adaptive,test,252.0,128,True,1.0,,14.0,3455.9492523053077,43.95495017084382,128.98742138364778,9125.710677001705,636,13.82142907049556,3600.0,6200.0,7800.0,13000.0,8400.0,16000.0,20000.0,21000.0,32,110.0,130.0,130.0,824,123,64,187
adaptive,test,252.0,128,True,1.0,,16.0,6266.2230415557815,31.28124136330182,128.9986962190352,10301.439450469841,767,17.385810771512766,6700.0,8500.0,8900.0,9100.0,11000.0,12000.0,13000.0,13000.0,31,33,35,35,942,110,64,174
adaptive,test,252.0,128,True,1.0,,18.0,11540.59536173916,68.85205667861342,129.02729044834308,20423.502804827207,513,9.196190448153283,8800.0,39000.0,42000.0,42000.0,13000.0,46000.0,48000.0,49000.0,31,270.0,290.0,290.0,878,218,146,364
adaptive,test,252.0,128,True,1.0,,20.0,14479.32923365639,37.404702723358255,128.97948717948717,19303.7644794392,585,13.140790232476892,16000.0,22000.0,25000.0,25000.0,21000.0,27000.0,30000.0,30000.0,37,39,39,39,1086,436,64,500
adaptive,test,508.0,128,True,1.0,,0.125,30.25266737677157,21.991982090302553,129.0,2867.2183570258007,6,0.12939483137096844,30,31,31,31,2900.0,2900.0,2900.0,2900.0,22,22,22,22,7,0,0,0
adaptive,test,508.0,128,True,1.0,,0.5,128.37909877103252,22.645615590240432,129.0,3049.6499313560957,26,0.5859433290235236,110.0,120.0,430.0,430.0,3000.0,3400.0,3400.0,3400.0,22,23,26,26,29,0,2,2
adaptive,test,508.0,128,True,1.0,,1.0,110.46506955797129,22.965230019827292,129.0,3072.9797421156914,54,1.182173368601451,110.0,120.0,140.0,140.0,3000.0,3200.0,3300.0,3300.0,23,24,24,24,58,0,3,3
adaptive,test,508.0,128,True,1.0,,2.0,117.83435419836843,24.102499147350173,128.98181818181817,3226.5865108908406,110,2.3979258192467525,120.0,150.0,150.0,150.0,3100.0,3700.0,3800.0,3800.0,23,27,28,28,117,0,6,6
adaptive,test,508.0,128,True,1.0,,4.0,127.00132283657281,25.75171007198536,129.01818181818183,3449.387541831344,220,4.8547179379085605,120.0,170.0,180.0,330.0,3200.0,4300.0,4500.0,4500.0,24,32,33,33,234,0,13,13
adaptive,test,508.0,128,True,1.0,,6.0,557.4170033214614,46.17626945257013,128.98697068403908,6513.902976794596,307,4.763130900571312,140.0,840.0,6100.0,27000.0,3700.0,9100.0,30000.0,30000.0,27,69,230.0,230.0,308,0,0,0
adaptive,test,508.0,128,True,1.0,,8.0,1137.0778392516193,66.92165883297997,128.97071129707112,9768.89907216963,239,5.2746246054096,740.0,3600.0,4600.0,31000.0,5400.0,33000.0,36000.0,36000.0,35,260.0,270.0,270.0,467,163,64,227
adaptive,test,508.0,128,True,1.0,,10.0,931.9860737466881,32.04156365047184,129.0329067641682,5066.295664566161,547,12.111171550369168,160.0,3800.0,4900.0,5200.0,4100.0,8100.0,9400.0,9400.0,31,35,37,38,588,1,39,40
adaptive,test,508.0,128,True,1.0,,12.0,2046.9775269641427,33.470462508500226,128.99847094801223,6364.600174252901,654,14.492536494439694,1300.0,4800.0,7100.0,7300.0,5600.0,9400.0,11000.0,12000.0,33,36,37,38,706,2,49,51
adaptive,test,508.0,128,True,1.0,,14.0,15292.689374131241,54.735477512506314,129.00980392156862,22354.270174531684,510,10.040397921732788,11000.0,28000.0,28000.0,28000.0,26000.0,29000.0,30000.0,30000.0,26,220.0,230.0,230.0,820,241,68,309
adaptive,test,508.0,128,True,1.0,,16.0,8361.269265076955,32.75214726766904,128.9985775248933,12586.217790050165,703,15.994364264782416,9200.0,11000.0,12000.0,12000.0,13000.0,16000.0,16000.0,17000.0,33,35,37,37,941,173,64,237
adaptive,test,508.0,128,True,1.0,,18.0,11080.16168894107,34.67002149478989,129.00568990042674,15552.729138094832,703,15.960881871022538,12000.0,16000.0,17000.0,18000.0,17000.0,20000.0,22000.0,22000.0,35,37,38,39,1059,291,64,355
adaptive,test,508.0,128,True,1.0,,20.0,12439.404540445366,34.117781272571904,128.99431009957326,16840.384760521796,703,16.037459155641614,14000.0,19000.0,20000.0,20000.0,18000.0,23000.0,25000.0,25000.0,34,36,37,38,1176,408,64,472
adaptive,test,1020.0,128,True,1.0,,0.125,31.568129527537774,22.095477031014415,129.0,2881.8846665283977,6,0.13041047250159932,32,32,32,32,2900.0,2900.0,2900.0,2900.0,22,22,22,22,7,0,0,0
adaptive,test,1020.0,128,True,1.0,,0.5,105.54002155102073,22.790244114009706,128.96153846153845,3044.6058372438597,26,0.5836232783454027,110.0,120.0,120.0,120.0,3000.0,3100.0,3200.0,3200.0,23,24,24,24,29,0,2,2
adaptive,test,1020.0,128,True,1.0,,1.0,108.80772477766085,23.381443244047848,129.0,3125.0139032598345,54,1.1914507281041387,110.0,130.0,140.0,140.0,3100.0,3400.0,3400.0,3400.0,23,25,25,25,58,0,3,3
adaptive,test,1020.0,128,True,1.0,,2.0,123.23776396118443,25.120382894305067,129.0090909090909,3363.9225225345317,110,2.4175099331371737,120.0,160.0,160.0,160.0,3200.0,3900.0,4000.0,4000.0,24,29,30,30,117,0,6,6
adaptive,test,1020.0,128,True,1.0,,4.0,136.4922574985857,27.795095961419413,129.01363636363635,3722.3230661395723,220,4.930948373963576,130.0,190.0,190.0,210.0,3400.0,4800.0,5000.0,5000.0,26,36,37,37,235,1,13,14
adaptive,test,1020.0,128,True,1.0,,6.0,331.83471380275813,31.888286712168032,128.9878048780488,4445.02587650055,328,7.4655072672463065,150.0,250.0,3700.0,4000.0,4000.0,5600.0,7900.0,8300.0,30,40,42,42,353,1,23,24
adaptive,test,1020.0,128,True,1.0,,8.0,718.9347150784913,34.97723555277899,128.99539170506912,5230.896213450545,434,9.907504774244044,170.0,2800.0,5300.0,5300.0,4400.0,7600.0,10000.0,11000.0,33,40,42,43,470,1,34,35
adaptive,test,1020.0,128,True,1.0,,10.0,1549.2961494923034,36.964558741654436,128.9981515711645,6317.560256702193,541,12.20481869601865,300.0,5100.0,6400.0,6600.0,5300.0,10000.0,11000.0,11000.0,37,40,42,43,588,1,45,46
adaptive,test,1020.0,128,True,1.0,,12.0,5059.279610680862,39.91521860395106,128.98608695652175,10207.742438584606,575,14.175439803382789,5400.0,7700.0,9000.0,9100.0,10000.0,13000.0,14000.0,14000.0,40,42,43,43,706,66,64,130
adaptive,test,1020.0,128,True,1.0,,14.0,8410.155445645441,38.45422482676592,129.0,13370.708316645747,575,14.366145885880316,9300.0,12000.0,13000.0,13000.0,14000.0,17000.0,18000.0,18000.0,38,41,42,43,824,184,64,248
adaptive,test,1020.0,128,True,1.0,,16.0,10671.516681335179,38.77160629234905,128.99478260869566,15672.80673998591,575,14.300839208163257,12000.0,15000.0,17000.0,17000.0,17000.0,21000.0,22000.0,23000.0,39,41,42,43,942,302,64,366
adaptive,test,1020.0,128,True,1.0,,18.0,12533.611636924476,38.93521137708274,129.01565217391305,17556.816031399332,575,14.262411202441369,14000.0,19000.0,21000.0,21000.0,19000.0,24000.0,26000.0,26000.0,39,41,42,43,1059,419,64,483
adaptive,test,1020.0,128,True,1.0,,20.0,14424.088571905158,39.00516497100389,128.9808695652174,19454.99020726906,575,14.140304892608341,16000.0,23000.0,24000.0,25000.0,21000.0,27000.0,29000.0,30000.0,39,41,43,43,1076,436,64,500
adaptive,test,2044.0,128,True,1.0,,0.125,40.42185381986201,22.18790102782551,129.0,2902.6610864093527,5,0.13277902877046527,34,51,51,51,2900.0,2900.0,2900.0,2900.0,22,22,22,22,7,0,1,1
adaptive,test,2044.0,128,True,1.0,,0.5,109.70783932134509,23.46150741469394,129.0,3136.242295816863,26,0.6004193987038776,110.0,120.0,140.0,140.0,3100.0,3400.0,3400.0,3400.0,23,25,25,25,29,0,2,2
adaptive,test,2044.0,128,True,1.0,,1.0,119.3307384857218,24.357977883133955,129.0,3261.509885410002,54,1.2208489693927065,120.0,160.0,160.0,160.0,3200.0,3700.0,3700.0,3700.0,24,27,28,28,58,0,3,3
adaptive,test,2044.0,128,True,1.0,,2.0,135.48904917536115,27.363853314877385,129.0091743119266,3665.492027617752,109,2.4923159950391707,130.0,190.0,200.0,200.0,3400.0,4600.0,4700.0,4700.0,25,34,35,35,117,0,7,7
adaptive,test,2044.0,128,True,1.0,,4.0,169.889068313381,32.934732929088874,128.97260273972603,4417.506492118347,219,5.096381601958106,150.0,260.0,270.0,420.0,3900.0,6000.0,6200.0,6300.0,29,45,46,47,235,0,15,15
adaptive,test,2044.0,128,True,1.0,,6.0,557.4021995111432,39.16763213347626,129.0030864197531,5610.071496027277,324,7.654682521015708,180.0,980.0,5500.0,5700.0,4700.0,7100.0,11000.0,11000.0,35,50,52,53,353,1,27,28
adaptive,test,2044.0,128,True,1.0,,8.0,1820.3862868345063,44.95749939890669,129.01643192488262,7620.664721631671,426,10.160413021113792,390.0,5900.0,6900.0,7100.0,6800.0,12000.0,13000.0,13000.0,46,49,52,52,470,1,42,43
adaptive,test,2044.0,128,True,1.0,,10.0,6015.9296888367935,48.42640148631064,129.0,12262.959993762897,447,11.745034997763728,6600.0,9300.0,10000.0,10000.0,13000.0,15000.0,16000.0,16000.0,48,51,52,53,554,42,64,106
adaptive,test,2044.0,128,True,1.0,,12.0,15658.28935877805,58.82706572631765,128.99653379549395,23247.089250708086,577,8.799063064405495,12000.0,38000.0,43000.0,43000.0,18000.0,44000.0,48000.0,48000.0,48,52,250.0,250.0,894,182,134,316
adaptive,test,2044.0,128,True,1.0,,16.0,26968.500489589533,123.2642798767338,128.97884344146686,42863.56441511861,709,4.838481207885364,22000.0,60000.0,60000.0,60000.0,31000.0,63000.0,121000.0,121000.0,45,420.0,840.0,850.0,930,0,220,220
adaptive,test,2044.0,128,True,1.0,,18.0,25254.629370431427,221.82722295742977,129.00801603206412,53872.873773004205,499,5.078072677719371,33000.0,43000.0,60000.0,60000.0,44000.0,99000.0,102000.0,102000.0,240.0,470.0,470.0,470.0,548,0,48,48
adaptive,test,2044.0,128,True,1.0,,20.0,19876.887689490723,64.4750239559159,128.96453900709218,28191.692811057983,141,3.5840276868273575,20000.0,35000.0,39000.0,39000.0,28000.0,44000.0,48000.0,48000.0,65,66,66,67,642,470,30,500
adaptive,test,4092.0,128,True,1.0,,0.125,38.31493719480932,34.70280045560424,129.0,4514.976195967756,5,0.13881631402531078,36,50,50,50,3000.0,11000.0,11000.0,11000.0,23,83,83,83,7,0,1,1
adaptive,test,4092.0,128,True,1.0,,0.5,114.75589763946257,24.82123173291494,128.96153846153845,3315.7638607663102,26,0.6210032667048798,110.0,140.0,160.0,160.0,3200.0,3700.0,3800.0,3800.0,24,28,28,28,29,0,2,2
adaptive,test,4092.0,128,True,1.0,,1.0,135.42592047963774,26.78056365583511,129.05555555555554,3591.8639509451436,54,1.2759218383430415,120.0,200.0,200.0,200.0,3300.0,4400.0,4500.0,4500.0,25,33,33,33,58,0,3,3
adaptive,test,4092.0,128,True,1.0,,2.0,167.64197824629656,32.5688453051444,129.0,4369.019010972548,109,2.648315650858515,140.0,270.0,270.0,270.0,3800.0,6000.0,6100.0,6100.0,28,45,45,45,117,0,7,7
adaptive,test,4092.0,128,True,1.0,,4.0,487.586617307462,48.69436051711353,128.9906103286385,6768.636670110074,213,5.642641799767944,210.0,420.0,4300.0,4700.0,5600.0,9300.0,11000.0,11000.0,41,68,70,70,235,1,20,21
adaptive,test,4092.0,128,True,1.0,,6.0,3170.5384384895583,69.1411301150094,129.00523560209425,12090.085818106187,191,9.590118727976039,1800.0,8000.0,9400.0,9400.0,11000.0,17000.0,18000.0,18000.0,69,72,72,72,250,2,56,58
adaptive,test,4092.0,128,True,1.0,,8.0,10853.495779696563,76.2361179815242,129.02201257861634,20689.768213362862,318,7.9681955299238245,9600.0,24000.0,27000.0,28000.0,19000.0,33000.0,36000.0,37000.0,70,170.0,170.0,170.0,319,0,0,0
adaptive,test,4092.0,128,True,1.0,,10.0,17261.780161603125,111.21503563972087,128.9952606635071,31610.580013267656,211,6.3735709739738535,9800.0,37000.0,39000.0,40000.0,37000.0,42000.0,42000.0,42000.0,68,250.0,310.0,310.0,588,312,64,376
adaptive,test,4092.0,128,True,1.0,,12.0,24501.723750760382,77.22510644738092,128.9920948616601,34464.66018761307,253,48.94810824519265,31000.0,35000.0,35000.0,35000.0,36000.0,37000.0,37000.0,37000.0,15,280.0,280.0,280.0,706,388,64,452
adaptive,test,4092.0,128,True,1.0,,16.0,32595.176746871522,95.0541982536302,129.00641025641025,44857.812917330884,468,6.060110354877867,27000.0,60000.0,76000.0,76000.0,36000.0,79000.0,81000.0,82000.0,69,370.0,380.0,380.0,773,97,207,304
adaptive,test,4092.0,128,True,1.0,,20.0,38682.51835478275,128.10084581306631,129.01160541586074,55211.87724818711,517,3.699396364427975,33000.0,82000.0,85000.0,85000.0,59000.0,88000.0,148000.0,149000.0,17,420.0,870.0,870.0,756,0,238,238
